X,Y,item,pagerank,chosen
-36.995533,-72.98189,graph theory,0.0002886997759998745,1.0
-38.450413,-1.7383515,information theory,0.00018457981997001206,1.0
-10.186647,-15.0745735,data mining,0.0001727460192460222,1.0
-25.223148,31.581577,claude shannon,9.145942067928083e-05,1.0
21.703737,13.202354,chaos theory,8.345428540605453e-05,1.0
41.324337,-50.011696,collective intelligence,8.918986665044396e-05,1.0
-10.40492,3.9773245,control theory,0.0006501684155729331,1.0
-53.37327,-23.445507,quantum logic gate,6.098681170817919e-05,1.0
-40.32575,-10.605207,operations research,0.00010565819864358853,1.0
50.395695,70.44552,remote sensing,9.992447621021913e-05,1.0
29.929758,1.6329098,simulated reality,0.0007274694924840454,1.0
28.143028,-33.762802,cognitive science,6.098681170817919e-05,1.0
-86.455154,-4.435882,low-density parity-check code,0.0005060017217475599,1.0
72.261925,19.703741,visual perception,9.331625851589204e-05,0.0
5.809018,-57.6015,semantic web,0.00041891596086775863,1.0
-14.02905,3.4182267,thermodynamic equilibrium,0.00029390851400953454,0.0
40.638508,52.883064,wearable computer,9.823618941920352e-05,1.0
1.2150878,84.60723,electromagnetic wave equation,0.00013864039347309228,1.0
-43.413208,-51.38258,propositional calculus,0.0002798140164713883,0.0
-24.267012,-15.947776,analytics,0.00021301877135163845,1.0
-3.8461826,54.53309,fourier transform,0.00021569456886539684,1.0
-42.202255,-35.011787,false dilemma,6.78443620080671e-05,1.0
-1.75167,-68.32149,natural language processing,0.0005625908078053184,0.0
50.681416,-30.438374,empathy,0.00015167393931206724,1.0
24.755564,-18.771461,philosophy of perception,0.0002715255303373122,1.0
54.240517,-16.455587,embodied cognition,0.0002827279866041836,0.0
51.622738,-11.576302,cognitive psychology,0.0004450740005967031,0.0
-42.12911,-52.116467,truth-functional propositional logic,0.0002897678031837059,0.0
60.567627,-23.711327,self-awareness,6.67145166490917e-05,1.0
13.849892,32.527115,internet of things,0.0005998964493294445,0.0
50.15466,22.261213,psychoacoustics,0.0007409266271062077,1.0
-16.10542,73.03563,graphics processing unit,0.0008831230119575267,0.0
21.644775,-69.99949,digital preservation,0.00020059430750253,1.0
-50.9841,37.697758,finite element method,0.00020368971776829327,0.0
-13.898812,47.93088,system analysis,8.717830387568163e-05,0.0
12.492748,17.862326,speech recognition,0.0006938903997215178,0.0
-24.925568,-29.613094,induction (philosophy),0.0004431105502897608,0.0
58.835056,23.486626,senses,0.00017741799248397779,0.0
8.033611,7.134665,artificial intelligence,0.0002441271167766392,0.0
-4.4588346,3.2466855,spatial dependence,0.00013724196112736497,1.0
25.051935,-56.834312,openness,0.00012188242230117458,0.0
-15.22524,72.51349,gpu,0.00014562548316062718,0.0
19.000284,5.3091464,neural network,0.00015459504976116317,0.0
4.634464,-74.92132,computational linguistics,0.00031253097349094193,0.0
44.67803,-65.850006,collaborative software,0.0003376580980918535,1.0
9.936014,18.145199,speech recognition software in healthcare,0.0005903752205611727,0.0
16.662853,59.09627,3d computer graphics,4.2467908817432726e-05,0.0
-16.509933,16.899881,principal components analysis,0.0001921697368748496,0.0
50.027306,-56.85204,spiral of silence,0.0002108222217190864,0.0
7.9913545,-25.323786,problem finding,0.00019596707894081343,0.0
41.460064,-22.975016,turing test,0.00026912301285114443,0.0
4.4441705,72.09419,correlation,7.420270147615492e-05,1.0
-6.6944895,-83.36203,constructed language,0.0004874602512992922,1.0
44.899876,-18.324734,animal consciousness,0.000367726815212547,0.0
-68.78103,43.290154,ieee 754,0.0011919584932935873,0.0
7.5351853,-23.919085,problem shaping,0.0006821165698085304,0.0
32.393875,4.492686,artificial neural network,0.00011973313754561417,0.0
-45.72039,12.351709,optimal control,6.651801466816533e-05,0.0
72.36662,-30.944822,noogenesis,0.0002379695880348283,0.0
-3.1230335,-69.032104,natural-language processing,9.174966326033346e-05,1.0
-52.04217,-8.868744,decision theory,0.00026086204222074865,0.0
16.088089,48.190605,3d printing,0.00011514378258393295,0.0
58.853188,12.26345,optical illusion,0.0002859097191291046,0.0
11.111567,52.763485,computer-aided design,0.00024197607420420517,0.0
16.09105,-67.26321,data management,8.861238807888825e-05,0.0
35.352608,-10.247851,artificial consciousness,0.00019666892591735846,0.0
30.18944,-5.125622,cognitive architecture,4.170485048249372e-05,0.0
74.62974,-0.29875913,perception,0.000350642816381385,0.0
21.10218,-4.259071,dynamical systems theory,0.0007675046536439216,0.0
22.379747,85.14783,superlens,6.651801466816533e-05,1.0
73.069016,-40.179848,transhumanism,0.00021382378597363823,1.0
65.43836,5.9206586,gestalt psychology,0.0002557619005261022,0.0
36.33758,-75.00719,library,0.00016425669321465746,0.0
49.211174,0.10070393,brain–computer interface,0.0003091981671705674,0.0
-40.5027,-19.788288,system dynamics,0.00031741308950649445,0.0
-68.508575,-42.325077,logic gate,0.00010635061782313282,0.0
47.56946,-24.558683,theory of mind,0.0008936620234402578,0.0
-39.668137,-29.624554,fuzzy logic,4.233652867165292e-05,0.0
