X,Y,Z,item,pagerank,chosen
3.9575791,-0.78842276,27.910107,graph theory,0.0002886997759998745,1.0
-4.2634034,-7.06364,17.128304,information theory,0.00018457981997001206,1.0
8.010293,-17.362232,3.5637562,data mining,0.0001727460192460222,1.0
-14.261684,0.8335865,4.3113265,claude shannon,9.145942067928083e-05,1.0
-0.33660325,-19.65789,-9.751811,chaos theory,8.345428540605453e-05,1.0
15.994608,-4.1142836,-5.3399053,collective intelligence,8.918986665044396e-05,1.0
-4.3001037,-1.6055317,2.2024455,control theory,0.0006501684155729331,1.0
-5.9008985,20.1522,4.142207,quantum logic gate,6.098681170817919e-05,1.0
4.672899,-14.729208,8.418088,operations research,0.00010565819864358853,1.0
-1.6130172,11.051939,-27.583984,remote sensing,9.992447621021913e-05,1.0
5.2809944,4.7739244,-12.610499,simulated reality,0.0007274694924840454,1.0
12.851569,4.759524,-1.7070489,cognitive science,6.098681170817919e-05,1.0
-2.4838612,-8.64764,23.730898,low-density parity-check code,0.0005060017217475599,1.0
6.8323693,15.300753,-13.409708,visual perception,9.331625851589204e-05,0.0
22.227493,-10.551563,6.061225,semantic web,0.00041891596086775863,1.0
-7.0014315,-0.033275776,0.54929805,thermodynamic equilibrium,0.00029390851400953454,0.0
7.109213,1.0257982,-23.835773,wearable computer,9.823618941920352e-05,1.0
-22.70079,-1.2547833,-6.529281,electromagnetic wave equation,0.00013864039347309228,1.0
0.33457187,9.078854,21.058262,propositional calculus,0.0002798140164713883,0.0
9.550331,-17.722279,9.94639,analytics,0.00021301877135163845,1.0
-10.452631,-8.548103,-10.311497,fourier transform,0.00021569456886539684,1.0
-6.582275,17.013727,17.710999,false dilemma,6.78443620080671e-05,1.0
16.580416,-3.347884,9.361975,natural language processing,0.0005625908078053184,0.0
15.681073,16.084297,5.6570344,empathy,0.00015167393931206724,1.0
0.8350756,21.638245,11.533592,philosophy of perception,0.0002715255303373122,1.0
12.621231,12.706262,0.09327492,embodied cognition,0.0002827279866041836,0.0
7.782386,9.552758,4.3868184,cognitive psychology,0.0004450740005967031,0.0
1.5817343,8.900361,19.616814,truth-functional propositional logic,0.0002897678031837059,0.0
13.140398,23.944616,4.1685624,self-awareness,6.67145166490917e-05,1.0
2.4737625,-7.968743,-21.266422,internet of things,0.0005998964493294445,0.0
-2.5558338,9.899644,-9.409809,psychoacoustics,0.0007409266271062077,1.0
-13.639791,5.480379,-15.9333,graphics processing unit,0.0008831230119575267,0.0
13.983711,-20.736462,-6.407485,digital preservation,0.00020059430750253,1.0
-27.488722,-5.663905,2.821139,finite element method,0.00020368971776829327,0.0
-14.687785,-5.8182597,-6.328985,system analysis,8.717830387568163e-05,0.0
1.7259128,-4.8249536,-13.489228,speech recognition,0.0006938903997215178,0.0
-0.4840365,-3.4007366,13.849541,induction (philosophy),0.0004431105502897608,0.0
1.2039407,21.770947,-9.701546,senses,0.00017741799248397779,0.0
3.0074134,-5.0190268,-0.88068527,artificial intelligence,0.0002441271167766392,0.0
-1.1629167,-26.09333,-2.2237659,spatial dependence,0.00013724196112736497,1.0
14.585281,-11.404991,-13.830742,openness,0.00012188242230117458,0.0
-14.052583,4.3526006,-16.212103,gpu,0.00014562548316062718,0.0
0.7593658,-1.9308827,-5.7992983,neural network,0.00015459504976116317,0.0
16.112703,1.2174652,6.004921,computational linguistics,0.00031253097349094193,0.0
23.923885,-5.4462104,-6.77927,collaborative software,0.0003376580980918535,1.0
2.4056318,-3.095524,-12.795669,speech recognition software in healthcare,0.0005903752205611727,0.0
-10.806545,-0.48962712,-18.199202,3d computer graphics,4.2467908817432726e-05,0.0
-8.483267,-19.24013,-3.046625,principal components analysis,0.0001921697368748496,0.0
23.058477,2.8272688,-3.8767085,spiral of silence,0.0002108222217190864,0.0
6.8829036,-6.229787,2.2628865,problem finding,0.00019596707894081343,0.0
5.063557,16.085955,5.929476,turing test,0.00026912301285114443,0.0
-9.53201,-21.573383,-7.272254,correlation,7.420270147615492e-05,1.0
16.868675,-1.1478733,20.221348,constructed language,0.0004874602512992922,1.0
7.101578,16.95574,1.7990899,animal consciousness,0.000367726815212547,0.0
